NH - Permitting Responsibility,Project Name,Project ID,Project State,Process Step Name,Process Step ID,NH - Permit Pack Type,Permit Application Submitted Date,Permit Application Submitted By,NH - Permit Pickup Verified Date,NH - Permit Pickup Verified By,Permit Rejection Recorded Date,Permit Rejection Recorded By,Permit Rejection Details,AHJ,Utility Company,Tick Counter,Process Step Created,Process Step Completed,Process Step Status
,Pacific Creekside II Encore - Lot 97,1146799,CA,NHO - F - Permitting,16035477,,3/26/2026 16:21,Jared Nast,,,4/8/2026 21:03,Jared Nast,AHJ rejected ESS plan,Palmdale City,Southern California Edison (SCE),,3/26/2026 16:17,,Permit Rejected
,Cotino - Lot 217,1320637,CA,NHO - F - Permitting,16010227,,2/6/2026 18:00,Nikki Francisco,,,2/24/2026 23:12,Jared Nast,Code Compliance,Rancho Mirage City,Southern California Edison (SCE),,2/6/2026 17:54,,Permit Rejected
,Guobiao Li - 563 Bregante Dr,1463556,CA,NHO - F - Permitting,16009622,,2/5/2026 22:57,Jared Nast,,,2/24/2026 16:53,Jared Nast,Means of Disconnect,City of Diamond Bar,Southern California Edison (SCE),,2/5/2026 22:14,,Permit Rejected
,Rocklin Meadows - Lot 03,1131287,CA,NHO - F - Permitting,16004916,,2/2/2026 16:42,Jared Nast,,,2/23/2026 16:15,Jared Nast,"AHJ requested additional site information,AHJ rejected ESS plan,Missing/Incorrect Documents,Code Compliance",Rocklin City,Pacific Gas & Electric Co. (PG&E),,1/30/2026 22:30,,Permit Rejected
,Pacific Montera (Creekside II Encore) - Lot 79,1146712,CA,NHO - F - Permitting,15991517,,1/15/2026 16:00,Nikki Francisco,,,2/5/2026 23:00,Nikki Francisco,AHJ rejected ESS plan,Palmdale City,Southern California Edison (SCE),,1/15/2026 15:12,,Permit Rejected
,Linea Rancho Mirage - Lot 10,1462904,CA,NHO - F - Permitting,15993562,,1/19/2026 16:00,Nikki Francisco,,,1/21/2026 19:00,Nikki Francisco,AHJ rejected electrical plan,Rancho Mirage City,Imperial Irrigation District (IID),,1/16/2026 23:13,,Permit Rejected
,Linea Rancho Mirage - Lot 15,1462905,CA,NHO - F - Permitting,15993550,,1/19/2026 16:00,Nikki Francisco,,,1/21/2026 19:00,Nikki Francisco,AHJ rejected electrical plan,Rancho Mirage City,Imperial Irrigation District (IID),,1/16/2026 23:12,,Permit Rejected
,Kindred at Sierra Vista - Lot 33 (1049 Granito Way),1091170,CA,NHO - F - Permitting,15963381,,12/15/2025 16:45,Jared Nast,,,1/8/2026 16:17,Jared Nast,AHJ rejected electrical plan,Roseville City,Roseville Electric,,12/15/2025 5:39,,Permit Rejected
,Ascent at Colton 49 - Bldg. 8 - Unit 17,1139101,CA,NHO - F - Permitting,15927804,,11/20/2025 16:24,Jared Nast,11/20/2025,Jared Nast,1/7/2026 23:40,Jared Nast,Missing Engineering Stamps,Colton City,Colton Electric Utility,,11/20/2025 16:24,,Permit Rejected
,Ascent at Colton 49 - Bldg. 6 - Unit 28,1139087,CA,NHO - F - Permitting,15927801,,11/20/2025 16:23,Jared Nast,,,1/7/2026 23:39,Jared Nast,Missing Engineering Stamps,Colton City,Colton Electric Utility,,11/20/2025 16:23,,Permit Rejected
,Ascent at Colton 49 - Bldg. 6 - Unit 27,1139088,CA,NHO - F - Permitting,15927800,,11/20/2025 16:23,Jared Nast,,,1/7/2026 23:38,Jared Nast,Missing Engineering Stamps,Colton City,Colton Electric Utility,,11/20/2025 16:23,,Permit Rejected
,Fletcher Dr - SLS - Lot 04,1139885,CA,NHO - F - Permitting,16045303,,4/22/2026 14:49,Jared Nast,4/29/2026,Jared Nast,,,,Los Angeles City,Los Angeles Department of Water & Power (LADWP),,4/22/2026 14:41,4/29/2026 15:29,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 4 - Unit 17,1463969,CA,NHO - F - Permitting,16046345,,4/27/2026 15:41,Melvin Garcia,4/27/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/24/2026 21:20,4/27/2026 16:12,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 4 - Unit 16,1463970,CA,NHO - F - Permitting,16046341,,4/27/2026 15:40,Melvin Garcia,4/27/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/24/2026 21:20,4/27/2026 16:12,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 4 - Unit 15,1463971,CA,NHO - F - Permitting,16046337,,4/27/2026 15:42,Melvin Garcia,4/27/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/24/2026 21:20,4/27/2026 16:12,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 4 - Unit 14,1463972,CA,NHO - F - Permitting,16046545,,4/27/2026 15:52,Melvin Garcia,4/27/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/27/2026 13:53,4/27/2026 16:12,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 4 - Unit 13,1463973,CA,NHO - F - Permitting,16046540,,4/27/2026 15:42,Melvin Garcia,4/27/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/27/2026 13:48,4/27/2026 16:12,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 13,1458012,CA,NHO - F - Permitting,16040326,,4/15/2026 3:13,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:25,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 14,1458013,CA,NHO - F - Permitting,16040328,,4/15/2026 3:13,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:25,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 15,1458014,CA,NHO - F - Permitting,16040330,,4/15/2026 3:13,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:25,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 16,1458015,CA,NHO - F - Permitting,16040905,,4/15/2026 3:13,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/8/2026 22:27,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 17,1458016,CA,NHO - F - Permitting,16040907,,4/15/2026 3:13,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/8/2026 22:27,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 18,1458017,CA,NHO - F - Permitting,16040909,,4/15/2026 3:14,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/8/2026 22:27,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 19,1458018,CA,NHO - F - Permitting,16040911,,4/15/2026 3:14,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/8/2026 22:27,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 20,1458019,CA,NHO - F - Permitting,16040913,,4/15/2026 3:14,Melvin Garcia,4/24/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/8/2026 22:27,4/24/2026 17:53,Permit Pickup Complete
